Node,Name,Parent,Type,thumbType,Description,Position,Department
GOOGL-3-1-1,Android 14,GOOGL-3-1,product,detail,Última versión del sistema Android,Senior Product Manager,Mobile
GOOGL-3-1-2,Android TV,GOOGL-3-1,product,detail,Android para televisores,Product Manager,TV
GOOGL-3-2,Google Pixel,GOOGL-3,product,detail,Smartphones de Google,Product Manager,Hardware
GOOGL-3-2-1,Pixel 8 Pro,GOOGL-3-2,product,detail,Smartphone premium de Google,Senior Product Manager,Hardware
GOOGL-3-2-2,Pixel 8,GOOGL-3-2,product,detail,Smartphone estándar de Google,Product Manager,Hardware
GOOGL-4,Inteligencia Artificial,GOOGL,service,detail,Unidad de negocio de IA y machine learning,VP AI,Technology
GOOGL-4-1,Google AI,GOOGL-4,service,detail,Servicios de inteligencia artificial,Service Manager,AI
GOOGL-4-1-1,Google Bard,GOOGL-4-1,service,detail,Asistente de IA conversacional,Product Manager,AI
GOOGL-4-1-2,Google Lens,GOOGL-4-1,service,detail,Reconocimiento visual con IA,Product Manager,AI
GOOGL-4-2,Google Maps,GOOGL-4,service,detail,Plataforma de mapas y navegación,Service Manager,Maps
GOOGL-4-2-1,Navegación GPS,GOOGL-4-2,service,detail,Navegación turno a turno,Product Manager,Maps
GOOGL-4-2-2,Google Street View,GOOGL-4-2,service,detail,Vistas panorámicas de calles,Product Manager,Maps

AMZN,Amazon.com Inc.,,company,detail,Empresa líder en comercio electrónico y servicios en la nube,CEO,Executive
AMZN-1,Comercio Electrónico,AMZN,service,detail,Unidad de negocio de venta online,VP E-commerce,Retail
AMZN-1-1,Amazon.com,AMZN-1,service,detail,Plataforma principal de comercio electrónico,Service Manager,Retail
AMZN-1-1-1,Amazon Prime,AMZN-1-1,service,detail,Suscripción premium con beneficios,Product Manager,Membership
AMZN-1-1-2,Amazon Fresh,AMZN-1-1,service,detail,Entrega de comestibles,Product Manager,Grocery
AMZN-1-2,Amazon Marketplace,AMZN-1,service,detail,Plataforma para vendedores terceros,Service Manager,Marketplace
AMZN-1-2-1,Fulfillment by Amazon,AMZN-1-2,service,detail,Servicio de logística para vendedores,Product Manager,Logistics
AMZN-2,Servicios en la Nube,AMZN,service,detail,Unidad de negocio de computación en la nube,VP Cloud Services,Cloud
AMZN-2-1,Amazon Web Services (AWS),AMZN-2,service,detail,Plataforma de computación en la nube,Service Manager,Cloud
AMZN-2-1-1,Amazon EC2,AMZN-2-1,service,detail,Servicios de computación virtual,Product Manager,Cloud
AMZN-2-1-2,Amazon S3,AMZN-2-1,service,detail,Almacenamiento en la nube,Product Manager,Cloud
AMZN-2-1-3,Amazon Lambda,AMZN-2-1,service,detail,Computación sin servidor,Product Manager,Cloud
AMZN-2-2,Amazon Prime Video,AMZN-2,service,detail,Plataforma de streaming de video,Service Manager,Entertainment
AMZN-2-2-1,Contenido Original,AMZN-2-2,service,detail,Series y películas exclusivas,Content Manager,Entertainment
AMZN-3,Dispositivos y Hardware,AMZN,product,detail,Unidad de negocio de dispositivos,VP Devices,Hardware
AMZN-3-1,Amazon Echo,AMZN-3,product,detail,Altavoces inteligentes,Product Manager,Smart Home
AMZN-3-1-1,Echo Dot,AMZN-3-1,product,detail,Altavoz inteligente compacto,Product Manager,Smart Home
AMZN-3-1-2,Echo Show,AMZN-3-1,product,detail,Altavoz inteligente con pantalla,Product Manager,Smart Home
AMZN-3-2,Amazon Kindle,AMZN-3,product,detail,Dispositivos de lectura electrónica,Product Manager,E-readers
AMZN-3-2-1,Kindle Paperwhite,AMZN-3-2,product,detail,E-reader con pantalla iluminada,Product Manager,E-readers
AMZN-3-2-2,Kindle Oasis,AMZN-3-2,product,detail,E-reader premium,Product Manager,E-readers
AMZN-4,Entretenimiento Digital,AMZN,service,detail,Unidad de negocio de entretenimiento,VP Entertainment,Entertainment
AMZN-4-1,Amazon Music,AMZN-4,service,detail,Plataforma de streaming musical,Service Manager,Music
AMZN-4-1-1,Amazon Music Unlimited,AMZN-4-1,service,detail,Suscripción completa de música,Product Manager,Music
AMZN-4-2,Amazon Games,AMZN-4,service,detail,Desarrollo y publicación de videojuegos,Service Manager,Gaming
AMZN-4-2-1,Amazon Game Studios,AMZN-4-2,service,detail,Desarrollo interno de juegos,Product Manager,Gaming

TSLA,Tesla Inc.,,company,detail,Empresa líder en vehículos eléctricos y energía sostenible,CEO,Executive
TSLA-1,Vehículos Eléctricos,TSLA,product,detail,Unidad de negocio de automóviles eléctricos,VP Electric Vehicles,Automotive
TSLA-1-1,Model S,TSLA-1,product,detail,Sedán eléctrico de lujo,Product Manager,Sedan
TSLA-1-1-1,Model S Plaid,TSLA-1-1,product,detail,Versión de alto rendimiento,Senior Product Manager,Sedan
TSLA-1-2,Model 3,TSLA-1,product,detail,Sedán eléctrico compacto,Product Manager,Sedan
TSLA-1-2-1,Model 3 Performance,TSLA-1-2,product,detail,Versión deportiva del Model 3,Product Manager,Sedan
TSLA-1-3,Model X,TSLA-1,product,detail,SUV eléctrico de lujo,Product Manager,SUV
TSLA-1-3-1,Model X Plaid,TSLA-1-3,product,detail,Versión de alto rendimiento,Senior Product Manager,SUV
TSLA-1-4,Model Y,TSLA-1,product,detail,SUV eléctrico compacto,Product Manager,SUV
TSLA-1-4-1,Model Y Performance,TSLA-1-4,product,detail,Versión deportiva del Model Y,Product Manager,SUV
TSLA-2,Energía y Almacenamiento,TSLA,product,detail,Unidad de negocio de energía sostenible,VP Energy,Energy
TSLA-2-1,Tesla Powerwall,TSLA-2,product,detail,Batería de almacenamiento doméstico,Product Manager,Storage
TSLA-2-1-1,Powerwall 2,TSLA-2-1,product,detail,Segunda generación de Powerwall,Senior Product Manager,Storage
TSLA-2-2,Tesla Solar,TSLA-2,product,detail,Sistemas de energía solar,Product Manager,Solar
TSLA-2-2-1,Solar Roof,TSLA-2-2,product,detail,Techo solar integrado,Product Manager,Solar
TSLA-2-2-2,Solar Panels,TSLA-2-2,product,detail,Paneles solares tradicionales,Product Manager,Solar
TSLA-3,Servicios de Carga,TSLA,service,detail,Unidad de negocio de infraestructura de carga,VP Charging,Charging
TSLA-3-1,Supercharger Network,TSLA-3,service,detail,Red de cargadores rápidos,Service Manager,Charging
TSLA-3-1-1,Supercharger V3,TSLA-3-1,service,detail,Cargadores de tercera generación,Product Manager,Charging
TSLA-3-2,Destination Charging,TSLA-3,service,detail,Cargadores en destinos,Service Manager,Charging
TSLA-3-2-1,Wall Connector,TSLA-3-2,product,detail,Cargador doméstico,Product Manager,Charging
TSLA-4,Tecnología Autónoma,TSLA,product,detail,Unidad de negocio de conducción autónoma,VP Autonomy,Technology
TSLA-4-1,Autopilot,TSLA-4,product,detail,Sistema de asistencia de conducción,Product Manager,Autonomy
TSLA-4-1-1,Autopilot Basic,TSLA-4-1,product,detail,Funciones básicas de asistencia,Product Manager,Autonomy
TSLA-4-1-2,Full Self-Driving,TSLA-4-1,product,detail,Conducción completamente autónoma,Senior Product Manager,Autonomy
TSLA-4-2,Tesla Bot,TSLA-4,product,detail,Robot humanoide,Product Manager,Robotics
TSLA-4-2-1,Optimus,TSLA-4-2,product,detail,Prototipo de robot humanoide,Product Manager,Robotics

NVDA,NVIDIA Corporation,,company,detail,Empresa líder en GPUs y computación acelerada,CEO,Executive
NVDA-1,GPUs para Gaming,NVDA,product,detail,Unidad de negocio de tarjetas gráficas para juegos,VP Gaming GPUs,Gaming
NVDA-1-1,GeForce RTX 40 Series,NVDA-1,product,detail,Última generación de GPUs para gaming,Product Manager,Gaming
NVDA-1-1-1,RTX 4090,NVDA-1-1,product,detail,GPU más potente para gaming,Senior Product Manager,Gaming
NVDA-1-1-2,RTX 4080,NVDA-1-1,product,detail,GPU de alto rendimiento,Product Manager,Gaming
NVDA-1-1-3,RTX 4070,NVDA-1-1,product,detail,GPU de rendimiento medio-alto,Product Manager,Gaming
NVDA-1-2,GeForce RTX 30 Series,NVDA-1,product,detail,Generación anterior de GPUs,Product Manager,Gaming
NVDA-1-2-1,RTX 3090,NVDA-1-2,product,detail,GPU de la generación anterior,Product Manager,Gaming
NVDA-2,GPUs para Datacenter,NVDA,product,detail,Unidad de negocio de computación empresarial,VP Datacenter GPUs,Enterprise
NVDA-2-1,Tesla Series,NVDA-2,product,detail,GPUs para computación científica,Product Manager,Enterprise
NVDA-2-1-1,Tesla V100,NVDA-2-1,product,detail,GPU para deep learning,Product Manager,Enterprise
NVDA-2-1-2,Tesla A100,NVDA-2-1,product,detail,GPU para IA y HPC,Senior Product Manager,Enterprise
NVDA-2-2,Quadro Series,NVDA-2,product,detail,GPUs para estaciones de trabajo,Product Manager,Workstation
NVDA-2-2-1,Quadro RTX 6000,NVDA-2-2,product,detail,GPU profesional de alto rendimiento,Product Manager,Workstation
NVDA-3,Software y Plataformas,NVDA,service,detail,Unidad de negocio de software,VP Software,Software
NVDA-3-1,CUDA,NVDA-3,service,detail,Plataforma de computación paralela,Service Manager,Software
NVDA-3-1-1,CUDA Toolkit,NVDA-3-1,service,detail,Herramientas de desarrollo CUDA,Product Manager,Software
NVDA-3-2,GeForce Experience,NVDA-3,service,detail,Software para optimización de juegos,Service Manager,Gaming
NVDA-3-2-1,Game Ready Drivers,NVDA-3-2,service,detail,Controladores optimizados para juegos,Product Manager,Gaming
NVDA-3-3,NVIDIA Studio,NVDA-3,service,detail,Software para creadores de contenido,Service Manager,Creative
NVDA-3-3-1,Studio Drivers,NVDA-3-3,service,detail,Controladores para aplicaciones creativas,Product Manager,Creative
NVDA-4,Inteligencia Artificial,NVDA,service,detail,Unidad de negocio de IA,VP AI,Technology
NVDA-4-1,NVIDIA AI,NVDA-4,service,detail,Servicios de inteligencia artificial,Service Manager,AI
NVDA-4-1-1,Deep Learning,NVDA-4-1,service,detail,Plataforma de deep learning,Product Manager,AI
NVDA-4-1-2,Machine Learning,NVDA-4-1,service,detail,Herramientas de machine learning,Product Manager,AI
NVDA-4-2,NVIDIA Omniverse,NVDA-4,service,detail,Plataforma de simulación 3D,Service Manager,Simulation
NVDA-4-2-1,Omniverse Create,NVDA-4-2,service,detail,Herramienta de creación 3D,Product Manager,Simulation

META,Meta Platforms Inc.,,company,detail,Empresa líder en redes sociales y realidad virtual,CEO,Executive
META-1,Redes Sociales,META,service,detail,Unidad de negocio de plataformas sociales,VP Social Media,Social
META-1-1,Facebook,META-1,service,detail,Plataforma principal de redes sociales,Service Manager,Social
META-1-1-1,Facebook Feed,META-1-1,service,detail,Feed de noticias personalizado,Product Manager,Social
META-1-1-2,Facebook Groups,META-1-1,service,detail,Grupos de interés y comunidades,Product Manager,Social
META-1-2,Instagram,META-1,service,detail,Plataforma de fotos y videos,Service Manager,Social
META-1-2-1,Instagram Feed,META-1-2,service,detail,Feed de fotos y videos,Product Manager,Social
META-1-2-2,Instagram Stories,META-1-2,service,detail,Contenido efímero de 24 horas,Product Manager,Social
META-1-2-3,Instagram Reels,META-1-2,service,detail,Videos cortos verticales,Product Manager,Social
META-1-3,WhatsApp,META-1,service,detail,Plataforma de mensajería,Service Manager,Messaging
META-1-3-1,WhatsApp Chat,META-1-3,service,detail,Mensajería instantánea,Product Manager,Messaging
META-1-3-2,WhatsApp Business,META-1-3,service,detail,Herramientas para empresas,Product Manager,Business
META-2,Realidad Virtual y Aumentada,META,product,detail,Unidad de negocio de VR/AR,VP VR AR,Technology
META-2-1,Meta Quest,META-2,product,detail,Gafas de realidad virtual,Product Manager,VR
META-2-1-1,Meta Quest 3,META-2-1,product,detail,Última generación de gafas VR,Senior Product Manager,VR
META-2-1-2,Meta Quest Pro,META-2-1,product,detail,Gafas VR profesionales,Product Manager,VR
META-2-2,Meta Ray-Ban,META-2,product,detail,Gafas de realidad aumentada,Product Manager,AR
META-2-2-1,Ray-Ban Meta,META-2-2,product,detail,Gafas inteligentes con cámara,Product Manager,AR
META-3,Servicios de Publicidad,META,service,detail,Unidad de negocio de publicidad digital,VP Advertising,Advertising
META-3-1,Facebook Ads,META-3,service,detail,Plataforma de publicidad en Facebook,Service Manager,Advertising
META-3-1-1,Facebook Feed Ads,META-3-1,service,detail,Publicidad en el feed de noticias,Product Manager,Advertising
META-3-2,Instagram Ads,META-3,service,detail,Plataforma de publicidad en Instagram,Service Manager,Advertising
META-3-2-1,Instagram Feed Ads,META-3-2,service,detail,Publicidad en el feed de Instagram,Product Manager,Advertising
META-3-2-2,Instagram Stories Ads,META-3-2,service,detail,Publicidad en Stories,Product Manager,Advertising
META-4,Servicios Empresariales,META,service,detail,Unidad de negocio de herramientas empresariales,VP Business,Business
META-4-1,Facebook Business Suite,META-4,service,detail,Herramientas de gestión empresarial,Service Manager,Business
META-4-1-1,Page Manager,META-4-1,service,detail,Gestión de páginas de Facebook,Product Manager,Business
META-4-2,Meta Business,META-4,service,detail,Plataforma de marketing empresarial,Service Manager,Business
META-4-2-1,Business Manager,META-4-2,service,detail,Gestión centralizada de cuentas,Product Manager,Business

NFLX,Netflix Inc.,,company,detail,Empresa líder en streaming de entretenimiento,CEO,Executive
NFLX-1,Streaming de Video,NFLX,service,detail,Unidad de negocio principal de streaming,VP Streaming,Entertainment
NFLX-1-1,Netflix Streaming,NFLX-1,service,detail,Plataforma principal de streaming,Service Manager,Streaming
NFLX-1-1-1,Netflix Basic,NFLX-1-1,service,detail,Plan básico con anuncios,Product Manager,Subscription
NFLX-1-1-2,Netflix Standard,NFLX-1-1,service,detail,Plan estándar sin anuncios,Product Manager,Subscription
NFLX-1-1-3,Netflix Premium,NFLX-1-1,service,detail,Plan premium con 4K,Product Manager,Subscription
NFLX-2,Contenido Original,NFLX,service,detail,Unidad de negocio de producción de contenido,VP Original Content,Content
NFLX-2-1,Series Originales,NFLX-2,service,detail,Producción de series exclusivas,Service Manager,Content
NFLX-2-1-1,Stranger Things,NFLX-2-1,service,detail,Serie de ciencia ficción,Content Manager,Series
NFLX-2-1-2,The Crown,NFLX-2-1,service,detail,Serie histórica sobre la monarquía,Content Manager,Series
NFLX-2-2,Películas Originales,NFLX-2,service,detail,Producción de películas exclusivas,Service Manager,Content
NFLX-2-2-1,The Irishman,NFLX-2-2,service,detail,Película de Martin Scorsese,Content Manager,Film
NFLX-2-2-2,Roma,NFLX-2-2,service,detail,Película de Alfonso Cuarón,Content Manager,Film
NFLX-3,Contenido Adquirido,NFLX,service,detail,Unidad de negocio de licenciamiento,VP Acquired Content,Content
NFLX-3-1,Licenciamiento de Series,NFLX-3,service,detail,Adquisición de series de terceros,Service Manager,Content
NFLX-3-1-1,Series de TV,NFLX-3-1,service,detail,Series de televisión licenciadas,Content Manager,Series
NFLX-3-2,Licenciamiento de Películas,NFLX-3,service,detail,Adquisición de películas de terceros,Service Manager,Content
NFLX-3-2-1,Películas de Estudio,NFLX-3-2,service,detail,Películas de estudios externos,Content Manager,Film
NFLX-4,Tecnología de Streaming,NFLX,service,detail,Unidad de negocio de tecnología,VP Technology,Technology
NFLX-4-1,Algoritmo de Recomendación,NFLX-4,service,detail,Sistema de recomendaciones personalizadas,Service Manager,AI
NFLX-4-1-1,Machine Learning,NFLX-4-1,service,detail,Algoritmos de ML para recomendaciones,Product Manager,AI
NFLX-4-2,Calidad de Video,NFLX-4,service,detail,Tecnología de compresión y streaming,Service Manager,Technology
NFLX-4-2-1,4K Streaming,NFLX-4-2,service,detail,Streaming en ultra alta definición,Product Manager,Technology
NFLX-4-2-2,HDR,NFLX-4-2,service,detail,Alto rango dinámico,Product Manager,Technology

ADBE,Adobe Inc.,,company,detail,Empresa líder en software creativo y digital,CEO,Executive
ADBE-1,Creative Cloud,ADBE,service,detail,Unidad de negocio de software creativo,VP Creative Cloud,Creative
ADBE-1-1,Adobe Photoshop,ADBE-1,service,detail,Software de edición de imágenes,Service Manager,Creative
ADBE-1-1-1,Photoshop CC,ADBE-1-1,service,detail,Versión en la nube de Photoshop,Product Manager,Creative
ADBE-1-1-2,Photoshop Elements,ADBE-1-1,service,detail,Versión simplificada para aficionados,Product Manager,Creative
ADBE-1-2,Adobe Illustrator,ADBE-1,service,detail,Software de diseño vectorial,Service Manager,Creative
ADBE-1-2-1,Illustrator CC,ADBE-1-2,service,detail,Versión en la nube de Illustrator,Product Manager,Creative
ADBE-1-3,Adobe InDesign,ADBE-1,service,detail,Software de maquetación,Service Manager,Creative
ADBE-1-3-1,InDesign CC,ADBE-1-3,service,detail,Versión en la nube de InDesign,Product Manager,Creative
ADBE-2,Document Cloud,ADBE,service,detail,Unidad de negocio de documentos digitales,VP Document Cloud,Document
ADBE-2-1,Adobe Acrobat,ADBE-2,service,detail,Software para PDF,Service Manager,Document
ADBE-2-1-1,Acrobat Pro DC,ADBE-2-1,service,detail,Versión profesional de Acrobat,Product Manager,Document
ADBE-2-1-2,Acrobat Standard DC,ADBE-2-1,service,detail,Versión estándar de Acrobat,Product Manager,Document
ADBE-2-2,Adobe Sign,ADBE-2,service,detail,Servicio de firma electrónica,Service Manager,Document
ADBE-2-2-1,Digital Signatures,ADBE-2-2,service,detail,Firmas digitales seguras,Product Manager,Document
ADBE-3,Experience Cloud,ADBE,service,detail,Unidad de negocio de experiencia digital,VP Experience Cloud,Experience
ADBE-3-1,Adobe Analytics,ADBE-3,service,detail,Plataforma de análisis web,Service Manager,Analytics
ADBE-3-1-1,Real-Time Analytics,ADBE-3-1,service,detail,Análisis en tiempo real,Product Manager,Analytics
ADBE-3-2,Adobe Experience Manager,ADBE-3,service,detail,Plataforma de gestión de contenido,Service Manager,Content
ADBE-3-2-1,Sites,ADBE-3-2,service,detail,Gestión de sitios web,Product Manager,Content
ADBE-3-2-2,Assets,ADBE-3-2,service,detail,Gestión de activos digitales,Product Manager,Content
ADBE-4,Video y Audio,ADBE,service,detail,Unidad de negocio de medios audiovisuales,VP Video Audio,Media
ADBE-4-1,Adobe Premiere Pro,ADBE-4,service,detail,Software de edición de video,Service Manager,Video
ADBE-4-1-1,Premiere Pro CC,ADBE-4-1,service,detail,Versión en la nube de Premiere,Product Manager,Video
ADBE-4-2,Adobe After Effects,ADBE-4,service,detail,Software de efectos visuales,Service Manager,Video
ADBE-4-2-1,After Effects CC,ADBE-4-2,service,detail,Versión en la nube de After Effects,Product Manager,Video
ADBE-4-3,Adobe Audition,ADBE-4,service,detail,Software de edición de audio,Service Manager,Audio
ADBE-4-3-1,Audition CC,ADBE-4-3,service,detail,Versión en la nube de Audition,Product Manager,Audio 
