Node,Name,Parent,Type,Img,Description,Position,Department
AAPL-1-5-2-1-1,Jamie Erlicht,AAPL-1-5-2-1,profile,live_tv,Manager de Producción TV,TV Production Manager,Entertainment
AAPL-1-6,Craig Federighi,AAPL-1,profile,settings,VP de Ingeniería de Software,VP Software Engineering,Engineering
AAPL-1-6-1,Craig Federighi,AAPL-1-6,profile,settings,VP de iOS,VP iOS,Software
AAPL-1-6-1-1,Dan Riccio,AAPL-1-6-1,profile,computer,Director de iOS,Director iOS,Software
AAPL-1-6-1-1-1,Scott Forstall,AAPL-1-6-1-1,profile,settings,Manager de Desarrollo iOS,iOS Development Manager,Software
AAPL-1-6-2,Dan Riccio,AAPL-1-6,profile,code,VP de macOS,VP macOS,Software
AAPL-1-6-2-1,Bertrand Serlet,AAPL-1-6-2,profile,settings,Director de macOS,Director macOS,Software
AAPL-1-6-2-1-1,Avie Tevanian,AAPL-1-6-2-1,profile,settings,Manager de Desarrollo macOS,macOS Development Manager,Software


MSFT,Microsoft Corporation,,company,business,Empresa líder en software y servicios en la nube,CEO,Executive
MSFT-1,Satya Nadella,MSFT,profile,work,CEO de Microsoft desde 2014,Chief Executive Officer,Executive
MSFT-1-1,Brad Smith,MSFT-1,profile,gavel,Presidente y VP Legal,President & Chief Legal Officer,Legal
MSFT-1-1-1,Julie Brill,MSFT-1-1,profile,security,VP de Privacidad,VP Privacy,Legal
MSFT-1-1-1-1,Tom Burt,MSFT-1-1-1,profile,security,Director de Privacidad,Director Privacy,Legal
MSFT-1-1-1-1-1,Sarah Johnson,MSFT-1-1-1-1,profile,policy,Manager de Privacidad,Privacy Manager,Legal
MSFT-1-1-2,Tom Burt,MSFT-1-1,profile,policy,VP de Seguridad Digital,VP Digital Security,Legal
MSFT-1-1-2-1,Charlie Bell,MSFT-1-1-2,profile,verified_user,Director de Seguridad Digital,Director Digital Security,Legal
MSFT-1-1-2-1-1,Mark Russinovich,MSFT-1-1-2-1,profile,gavel,Manager de Seguridad,Security Manager,Legal
MSFT-1-2,Amy Hood,MSFT-1,profile,account_balance_wallet,CFO de Microsoft,Chief Financial Officer,Finance
MSFT-1-2-1,Frank Brod,MSFT-1-2,profile,analytics,VP de Contabilidad,VP Accounting,Finance
MSFT-1-2-1-1,Alice Jolla,MSFT-1-2-1,profile,payment,Director de Contabilidad,Director Accounting,Finance
MSFT-1-2-1-1-1,John Smith,MSFT-1-2-1-1,profile,trending_up,Manager de Contabilidad,Accounting Manager,Finance
MSFT-1-2-2,Alice Jolla,MSFT-1-2,profile,payment,VP de Relaciones con Inversores,VP Investor Relations,Finance
MSFT-1-2-2-1,Chris Suh,MSFT-1-2-2,profile,account_balance_wallet,Director de Relaciones con Inversores,Director Investor Relations,Finance
MSFT-1-2-2-1-1,Michael Spencer,MSFT-1-2-2-1,profile,analytics,Manager de Relaciones con Inversores,Investor Relations Manager,Finance
MSFT-1-3,Judson Althoff,MSFT-1,profile,music_note,EVP de Comercialización,Executive VP Commercial,Commercial
MSFT-1-3-1,Gavriella Schuster,MSFT-1-3,profile,fitness_center,VP de One Commercial Partner,VP One Commercial,Commercial
MSFT-1-3-1-1,Nicole Dezen,MSFT-1-3-1,profile,gavel,Director de One Commercial Partner,Director One Commercial Partner,Commercial
MSFT-1-3-1-1-1,Rodney Clark,MSFT-1-3-1-1,profile,music_note,Manager de Partners,Partners Manager,Commercial
MSFT-1-3-2,Jean-Philippe Courtois,MSFT-1-3,profile,storefront,VP de Ventas,VP Sales,Sales
MSFT-1-3-2-1,Judson Althoff,MSFT-1-3-2,profile,shopping_cart,Director de Ventas Globales,Director Global Sales,Sales
MSFT-1-3-2-1-1,Orlando Ayala,MSFT-1-3-2-1,profile,loyalty,Manager de Ventas,Sales Manager,Sales
MSFT-1-4,Scott Guthrie,MSFT-1,profile,memory,EVP de Cloud y AI,Executive VP Cloud & AI,Technology
MSFT-1-4-1,Scott Guthrie,MSFT-1-4,profile,router,VP de Azure,VP Azure,Cloud
MSFT-1-4-1-1,Sam Schillace,MSFT-1-4-1,profile,cloud,Director de Azure,Director Azure,Cloud
MSFT-1-4-1-1-1,Mark Russinovich,MSFT-1-4-1-1,profile,memory,Manager de Azure,Azure Manager,Cloud
MSFT-1-4-2,Sam Schillace,MSFT-1-4,profile,code,VP de AI,VP AI,Technology
MSFT-1-4-2-1,Chris Bishop,MSFT-1-4-2,profile,developer_mode,Director de AI,Director AI,Technology
MSFT-1-4-2-1-1,Andrew Ng,MSFT-1-4-2-1,profile,developer_mode,Manager de Machine Learning,ML Manager,Technology
MSFT-1-5,Chris Capossela,MSFT-1,profile,point_of_sale,EVP de Marketing,Executive VP Marketing,Marketing
MSFT-1-5-1,Chris Capossela,MSFT-1-5,profile,campaign,VP de Marketing Global,VP Global Marketing,Marketing
MSFT-1-5-1-1,Takeshi Numoto,MSFT-1-5-1,profile,local_offer,Director de Marketing Global,Director Global Marketing,Marketing
MSFT-1-5-1-1-1,Kathleen Hall,MSFT-1-5-1-1,profile,campaign,Manager de Marketing,Marketing Manager,Marketing
MSFT-1-5-2,Takeshi Numoto,MSFT-1-5,profile,storefront,VP de Marketing de Producto,VP Product Marketing,Marketing
MSFT-1-5-2-1,Frank Shaw,MSFT-1-5-2,profile,local_offer,Director de Comunicaciones,Director Communications,Marketing
MSFT-1-5-2-1-1,Steve Clayton,MSFT-1-5-2-1,profile,storefront,Manager de Comunicaciones,Communications Manager,Marketing


GOOGL,Alphabet Inc.,,company,account_balance,Empresa matriz de Google y otras subsidiarias,CEO,Executive
GOOGL-1,Sundar Pichai,GOOGL,profile,account_balance,CEO de Alphabet y Google,Chief Executive Officer,Executive
GOOGL-1-1,Ruth Porat,GOOGL-1,profile,analytics,CFO de Alphabet,Chief Financial Officer,Finance
GOOGL-1-1-1,Allan Thygesen,GOOGL-1-1,profile,point_of_sale,VP de Google Ads,VP Google Ads,Advertising
GOOGL-1-1-1-1,Jerry Dischler,GOOGL-1-1-1,profile,verified,Director de Productos Publicitarios,Director Ad Products,Advertising
GOOGL-1-1-1-1-1,John Smith,GOOGL-1-1-1-1,profile,grass,Manager de Google Ads,Google Ads Manager,Advertising
GOOGL-1-1-2,Porat Ruth,GOOGL-1-1,profile,trending_up,VP de Finanzas Corporativas,VP Corporate Finance,Finance
GOOGL-1-1-2-1,Porat Ruth,GOOGL-1-1-2,profile,account_balance_wallet,Director de Inversiones,Director Investments,Finance
GOOGL-1-1-2-1-1,David Brown,GOOGL-1-1-2-1,profile,payment,Manager de Inversiones,Investments Manager,Finance
GOOGL-1-2,Kent Walker,GOOGL-1,profile,security,VP Legal y Asuntos Globales,VP Legal & Global Affairs,Legal
GOOGL-1-2-1,Kent Walker,GOOGL-1-2,profile,verified_user,VP de Privacidad,VP Privacy,Legal
GOOGL-1-2-1-1,Melanie Nakagawa,GOOGL-1-2-1,profile,verified_user,Director de Privacidad,Director Privacy,Legal
GOOGL-1-2-2,Kent Walker,GOOGL-1-2,profile,security,VP de Asuntos Globales,VP Global Affairs,Legal
GOOGL-1-2-2-1,Karan Bhatia,GOOGL-1-2-2,profile,gavel,Director de Asuntos Globales,Director Global Affairs,Legal
GOOGL-1-3,Philipp Schindler,GOOGL-1,profile,message,VP de Comercialización,VP Commercial,Commercial
GOOGL-1-3-1,Philipp Schindler,GOOGL-1-3,profile,storefront,VP de Ventas Globales,VP Global Sales,Sales
GOOGL-1-3-1-1,Caroline Atkinson,GOOGL-1-3-1,profile,shopping_cart,Director de Ventas Globales,Director Global Sales,Sales
GOOGL-1-3-2,Philipp Schindler,GOOGL-1-3,profile,local_offer,VP de Marketing,VP Marketing,Marketing
GOOGL-1-3-2-1,Lorraine Twohill,GOOGL-1-3-2,profile,point_of_sale,Director de Marketing,Director Marketing,Marketing
GOOGL-1-4,Prabhakar Raghavan,GOOGL-1,profile,computer,VP de Búsqueda,VP Search,Technology
GOOGL-1-4-1,Prabhakar Raghavan,GOOGL-1-4,profile,code,VP de Búsqueda Web,VP Web Search,Technology
GOOGL-1-4-1-1,Ben Gomes,GOOGL-1-4-1,profile,developer_mode,Director de Búsqueda Web,Director Web Search,Technology
GOOGL-1-4-2,Prabhakar Raghavan,GOOGL-1-4,profile,code,VP de Búsqueda de Imágenes,VP Image Search,Technology
GOOGL-1-4-2-1,John Giannandrea,GOOGL-1-4-2,profile,developer_mode,Director de Búsqueda de Imágenes,Director Image Search,Technology
GOOGL-1-5,Hiroshi Lockheimer,GOOGL-1,profile,memory,VP de Android,VP Android,Technology
GOOGL-1-5-1,Hiroshi Lockheimer,GOOGL-1-5,profile,memory,VP de Android Platform,VP Android Platform,Technology
GOOGL-1-5-1-1,Dave Burke,GOOGL-1-5-1,profile,memory,Director de Android Platform,Director Android Platform,Technology
GOOGL-1-5-2,Hiroshi Lockheimer,GOOGL-1-5,profile,computer,VP de Android Apps,VP Android Apps,Technology
GOOGL-1-5-2-1,Stephanie Cuthbertson,GOOGL-1-5-2,profile,memory,Director de Android Apps,Director Android Apps,Technology
GOOGL-1-6,Jeff Dean,GOOGL-1,profile,developer_mode,VP de Google AI,VP Google AI,Technology
GOOGL-1-6-1,Jeff Dean,GOOGL-1-6,profile,developer_mode,VP de Machine Learning,VP Machine Learning,Technology
GOOGL-1-6-1-1,Geoffrey Hinton,GOOGL-1-6-1,profile,memory,Director de Machine Learning,Director Machine Learning,Technology
GOOGL-1-6-2,Jeff Dean,GOOGL-1-6,profile,developer_mode,VP de Deep Learning,VP Deep Learning,Technology
GOOGL-1-6-2-1,Yann LeCun,GOOGL-1-6-2,profile,computer,Director de Deep Learning,Director Deep Learning,Technology
GOOGL-1-7,Thomas Kurian,GOOGL-1,profile,cloud,VP de Google Cloud,VP Google Cloud,Cloud
GOOGL-1-7-1,Thomas Kurian,GOOGL-1-7,profile,memory,VP de Google Cloud Platform,VP Google Cloud Platform,Cloud
GOOGL-1-7-1-1,Urs Hölzle,GOOGL-1-7-1,profile,cloud,Director de Google Cloud Platform,Director Google Cloud Platform,Cloud
GOOGL-1-7-2,Thomas Kurian,GOOGL-1-7,profile,router,VP de Google Workspace,VP Google Workspace,Cloud
GOOGL-1-7-2-1,Javier Soltero,GOOGL-1-7-2,profile,router,Director de Google Workspace,Director Google Workspace,Cloud


AMZN,Amazon.com Inc.,,company,account_balance,Empresa líder en comercio electrónico y servicios en la nube,CEO,Executive
AMZN-1,Andy Jassy,AMZN,profile,work,CEO de Amazon desde 2021,Chief Executive Officer,Executive
AMZN-1-1,Brian Olsavsky,AMZN-1,profile,trending_up,CFO de Amazon,Chief Financial Officer,Finance
AMZN-1-1-1,John Felton,AMZN-1-1,profile,account_balance_wallet,VP de Finanzas Globales,VP Global Finance,Finance
AMZN-1-1-1-1,Tom Szkutak,AMZN-1-1-1,profile,payment,Director de Finanzas Corporativas,Director Corporate Finance,Finance
AMZN-1-1-2,Tom Szkutak,AMZN-1-1,profile,account_balance_wallet,VP de Contabilidad,VP Accounting,Finance
AMZN-1-1-2-1,Alice Jolla,AMZN-1-1-2,profile,analytics,Director de Relaciones con Inversores,Director Investor Relations,Finance
AMZN-1-2,David Zapolsky,AMZN-1,profile,gavel,VP Legal y Secretario General,VP Legal & General Counsel,Legal
AMZN-1-2-1,David Zapolsky,AMZN-1-2,profile,verified_user,VP de Asuntos Legales,VP Legal Affairs,Legal
AMZN-1-2-1-1,Melanie Nakagawa,AMZN-1-2-1,profile,verified_user,Director de Cumplimiento,Director Compliance,Legal
AMZN-1-2-2,David Zapolsky,AMZN-1-2,profile,verified_user,VP de Cumplimiento,VP Compliance,Legal
AMZN-1-2-2-1,Karan Bhatia,AMZN-1-2-2,profile,policy,Director de Asuntos Legales,Director Legal Affairs,Legal
AMZN-1-3,Doug Herrington,AMZN-1,profile,shopping_cart,VP de Amazon Stores,VP Amazon Stores,Retail
AMZN-1-3-1,Doug Herrington,AMZN-1-3,profile,shopping_cart,VP de Amazon.com,VP Amazon.com,Retail
AMZN-1-3-1-1,Christie Smith,AMZN-1-3-1,profile,store,Director de Amazon.com,Director Amazon.com,Retail
AMZN-1-3-2,Doug Herrington,AMZN-1-3,profile,store,VP de Amazon Fresh,VP Amazon Fresh,Retail
AMZN-1-3-2-1,Stephenie Landry,AMZN-1-3-2,profile,store,Director de Amazon Fresh,Director Amazon Fresh,Retail
AMZN-1-4,Adam Selipsky,AMZN-1,profile,router,VP de AWS,VP AWS,Cloud
AMZN-1-4-1,Adam Selipsky,AMZN-1-4,profile,memory,VP de AWS Compute,VP AWS Compute,Cloud
AMZN-1-4-1-1,Peter DeSantis,AMZN-1-4-1,profile,storage,Director de AWS Compute,Director AWS Compute,Cloud
AMZN-1-4-2,Adam Selipsky,AMZN-1-4,profile,cloud,VP de AWS Storage,VP AWS Storage,Cloud
AMZN-1-4-2-1,James Hamilton,AMZN-1-4-2,profile,cloud,Director de AWS Storage,Director AWS Storage,Cloud
AMZN-1-5,Dave Clark,AMZN-1,profile,settings,VP de Operaciones Globales,VP Global Operations,Operations
AMZN-1-5-1,Dave Clark,AMZN-1-5,profile,warehouse,VP de Logística,VP Logistics,Operations
AMZN-1-5-1-1,John Felton,AMZN-1-5-1,profile,settings,Director de Logística,Director Logistics,Operations
AMZN-1-5-2,Dave Clark,AMZN-1-5,profile,factory,VP de Fulfillment,VP Fulfillment,Operations
AMZN-1-5-2-1,Alicia Boler Davis,AMZN-1-5-2,profile,factory,Director de Fulfillment,Director Fulfillment,Operations
AMZN-1-6,Beth Galetti,AMZN-1,profile,people_alt,VP de Recursos Humanos,VP Human Resources,HR
AMZN-1-6-1,Beth Galetti,AMZN-1-6,profile,school,VP de Recursos Humanos,VP Human Resources,HR
AMZN-1-6-1-1,Christie Smith,AMZN-1-6-1,profile,psychology,Director de Recursos Humanos,Director Human Resources,HR
AMZN-1-6-2,Beth Galetti,AMZN-1-6,profile,school,VP de Diversidad,VP Diversity,HR
AMZN-1-6-2-1,Candace Thille,AMZN-1-6-2,profile,diversity_3,Director de Diversidad,Director Diversity,HR


TSLA,Tesla Inc.,,company,account_balance,Empresa líder en vehículos eléctricos y energía sostenible,CEO,Executive
TSLA-1,Elon Musk,TSLA,profile,work,CEO de Tesla,Chief Executive Officer,Executive
TSLA-1-1,Zachary Kirkhorn,TSLA-1,profile,account_balance_wallet,CFO de Tesla,Chief Financial Officer,Finance
TSLA-1-1-1,Vaibhav Taneja,TSLA-1-1,profile,trending_up,VP de Contabilidad,VP Accounting,Finance
TSLA-1-1-1-1,Martin Viecha,TSLA-1-1-1,profile,payment,VP de Finanzas Corporativas,VP Corporate Finance,Finance
TSLA-1-1-2,Martin Viecha,TSLA-1-1,profile,analytics,VP de Relaciones con Inversores,VP Investor Relations,Finance
TSLA-1-1-2-1,Vaibhav Taneja,TSLA-1-1-2,profile,trending_up,VP de Tesorería,VP Treasury,Finance
TSLA-1-2,Andrew Baglino,TSLA-1,profile,computer,CTO de Tesla,Chief Technology Officer,Technology
TSLA-1-2-1,Drew Baglino,TSLA-1-2,profile,build,VP de Ingeniería,VP Engineering,Engineering
TSLA-1-2-1-1,Andrej Karpathy,TSLA-1-2-1,profile,computer,VP de AI,VP AI,Technology
TSLA-1-2-2,Andrej Karpathy,TSLA-1-2,profile,memory,VP de Autopilot,VP Autopilot,Technology
TSLA-1-2-2-1,Drew Baglino,TSLA-1-2-2,profile,code,VP de Software,VP Software,Software
TSLA-1-3,Tom Zhu,TSLA-1,profile,engineering,VP de Producción Global,VP Global Production,Manufacturing
TSLA-1-3-1,Chris Lister,TSLA-1-3,profile,construction,VP de Operaciones de Gigafactory,VP Gigafactory Operations,Manufacturing
TSLA-1-3-1-1,Hansjörg Gemmingen,TSLA-1-3-1,profile,build,VP de Calidad,VP Quality,Manufacturing
TSLA-1-3-2,Hansjörg Gemmingen,TSLA-1-3,profile,construction,VP de Supply Chain,VP Supply Chain,Manufacturing
TSLA-1-3-2-1,Chris Lister,TSLA-1-3-2,profile,construction,VP de Logística,VP Logistics,Manufacturing
TSLA-1-4,Lars Moravy,TSLA-1,profile,construction,VP de Ingeniería de Vehículos,VP Vehicle Engineering,Engineering
TSLA-1-4-1,Franz von Holzhausen,TSLA-1-4,profile,color_lens,VP de Diseño,VP Design,Design
TSLA-1-4-1-1,Pete Bannon,TSLA-1-4-1,profile,storage,VP de Hardware,VP Hardware,Hardware
TSLA-1-4-2,Pete Bannon,TSLA-1-4,profile,settings,VP de Ingeniería Mecánica,VP Mechanical Engineering,Engineering
TSLA-1-4-2-1,Franz von Holzhausen,TSLA-1-4-2,profile,build,VP de Aerodinámica,VP Aerodynamics,Engineering
TSLA-1-5,Jerome Guillen,TSLA-1,profile,local_shipping,VP de Vehículos,VP Vehicles,Vehicles
TSLA-1-5-1,Stuart Bowers,TSLA-1-5,profile,developer_mode,VP de Software,VP Software,Software
TSLA-1-5-1-1,David Arnold,TSLA-1-5-1,profile,headset_mic,VP de Servicios,VP Services,Services
TSLA-1-5-2,David Arnold,TSLA-1-5,profile,help,VP de Supercharger,VP Supercharger,Services
TSLA-1-5-2-1,Stuart Bowers,TSLA-1-5-2,profile,headset_mic,VP de Red de Carga,VP Charging Network,Services

NVDA,NVIDIA Corporation,,company,work,Empresa líder en GPUs y computación acelerada,CEO,Executive
NVDA-1,Jensen Huang,NVDA,profile,work,CEO y Co-fundador de NVIDIA,Chief Executive Officer,Executive
NVDA-1-1,Colette Kress,NVDA-1,profile,payment,CFO de NVIDIA,Chief Financial Officer,Finance
NVDA-1-1-1,Simona Jankowski,NVDA-1-1,profile,trending_up,VP de Relaciones con Inversores,VP Investor Relations,Finance
NVDA-1-1-1-1,Tim Teter,NVDA-1-1-1,profile,analytics,VP de Finanzas Corporativas,VP Corporate Finance,Finance
NVDA-1-1-2,Tim Teter,NVDA-1-1,profile,security,VP de Asuntos Legales,VP Legal Affairs,Legal
NVDA-1-1-2-1,Simona Jankowski,NVDA-1-1-2,profile,policy,VP de Cumplimiento,VP Compliance,Legal
NVDA-1-2,Claire Delaunay,NVDA-1,profile,code,CTO de NVIDIA,Chief Technology Officer,Technology
NVDA-1-2-1,Jeff Fisher,NVDA-1-2,profile,sports_esports,VP de Gaming,VP Gaming,Gaming
NVDA-1-2-1-1,Ian Buck,NVDA-1-2-1,profile,casino,VP de GPU Gaming,VP GPU Gaming,Gaming
NVDA-1-2-2,Ian Buck,NVDA-1-2,profile,computer,VP de Computación,VP Computing,Computing
NVDA-1-2-2-1,Jeff Fisher,NVDA-1-2-2,profile,memory,VP de Datacenter,VP Datacenter,Technology
NVDA-1-3,Brian Kelleher,NVDA-1,profile,casino,VP de Productos Gaming,VP Gaming Products,Gaming
NVDA-1-3-1,Jeff Fisher,NVDA-1-3,profile,videogame_asset,VP de Marketing Gaming,VP Gaming Marketing,Gaming
NVDA-1-3-1-1,John Berra,NVDA-1-3-1,profile,point_of_sale,VP de Ventas Gaming,VP Gaming Sales,Sales
NVDA-1-3-2,John Berra,NVDA-1-3,profile,point_of_sale,VP de Marketing de Producto,VP Product Marketing,Marketing
NVDA-1-3-2-1,Jeff Fisher,NVDA-1-3-2,profile,storefront,VP de Comunicaciones,VP Communications,Marketing
NVDA-1-4,Debora Shoquist,NVDA-1,profile,build,VP de Operaciones,VP Operations,Operations
NVDA-1-4-1,Mark Stevens,NVDA-1-4,profile,engineering,VP de Fabricación,VP Manufacturing,Manufacturing
NVDA-1-4-1-1,Tim Teter,NVDA-1-4-1,profile,local_warehouse,VP de Supply Chain,VP Supply Chain,Supply Chain
NVDA-1-4-2,Tim Teter,NVDA-1-4,profile,factory,VP de Logística,VP Logistics,Operations
NVDA-1-4-2-1,Mark Stevens,NVDA-1-4-2,profile,warehouse,VP de Calidad,VP Quality,Operations
NVDA-1-5,David Shannon,NVDA-1,profile,psychology,VP de Recursos Humanos,VP Human Resources,HR
NVDA-1-5-1,Shannon McFayden,NVDA-1-5,profile,people_alt,VP de Diversidad,VP Diversity,HR
NVDA-1-5-1-1,Mark Stevens,NVDA-1-5-1,profile,school,VP de Talento,VP Talent,HR
NVDA-1-5-2,Mark Stevens,NVDA-1-5,profile,diversity_3,VP de Desarrollo,VP Development,HR
NVDA-1-5-2-1,David Shannon,NVDA-1-5-2,profile,psychology,VP de Cultura,VP Culture,HR

META,Meta Platforms Inc.,,company,account_balance,Empresa líder en redes sociales y realidad virtual,CEO,Executive
META-1,Mark Zuckerberg,META,profile,account_balance,CEO y Fundador de Meta,Chief Executive Officer,Executive
META-1-1,Susan Li,META-1,profile,account_balance_wallet,CFO de Meta,Chief Financial Officer,Finance
META-1-1-1,Dave Wehner,META-1-1,profile,analytics,VP de Estrategia Financiera,VP Financial Strategy,Finance
META-1-1-1-1,Jennifer Newstead,META-1-1-1,profile,gavel,VP Legal y Secretaria General,VP Legal & General Counsel,Legal
META-1-1-1-1-1,Colin Stretch,META-1-1-1-1,profile,verified_user,Director Legal,Legal Director,Legal
META-1-1-2,Jennifer Newstead,META-1-1,profile,security,VP de Asuntos Legales,VP Legal Affairs,Legal
META-1-1-2-1,Colin Stretch,META-1-1-2,profile,policy,Director de Privacidad,Director Privacy,Legal
META-1-1-2-1-1,Erin Egan,META-1-1-2-1,profile,gavel,Manager de Privacidad,Privacy Manager,Legal
META-1-2,Nick Clegg,META-1,profile,fitness_center,VP de Asuntos Globales,VP Global Affairs,Policy
META-1-2-1,Nick Clegg,META-1-2,profile,support_agent,VP de Políticas Públicas,VP Public Policy,Policy
META-1-2-1-1,Joel Kaplan,META-1-2-1,profile,support_agent,Director de Políticas Públicas,Director Public Policy,Policy
META-1-2-1-1-1,Monika Bickert,META-1-2-1-1,profile,settings,Manager de Políticas,Policy Manager,Policy
META-1-2-2,Joel Kaplan,META-1-2,profile,construction,VP de Asuntos Gubernamentales,VP Government Affairs,Policy
META-1-2-2-1,Monika Bickert,META-1-2-2,profile,pie_chart,Director de Asuntos Gubernamentales,Director Government Affairs,Policy
META-1-2-2-1-1,Guy Rosen,META-1-2-2-1,profile,fitness_center,Manager de Asuntos Gubernamentales,Government Affairs Manager,Policy
META-1-3,Andrew Bosworth,META-1,profile,memory,CTO de Meta,Chief Technology Officer,Technology
META-1-3-1,John Carmack,META-1-3,profile,computer,VP de Realidad Virtual,VP Virtual Reality,Technology
META-1-3-1-1,Mike Schroepfer,META-1-3-1,profile,code,Director de Realidad Virtual,Director Virtual Reality,Technology
META-1-3-1-1-1,John Carmack,META-1-3-1-1,profile,memory,Manager de Oculus,Oculus Manager,Technology
META-1-3-2,Mike Schroepfer,META-1-3,profile,developer_mode,VP de Inteligencia Artificial,VP Artificial Intelligence,Technology
META-1-3-2-1,Yann LeCun,META-1-3-2,profile,code,Director de AI Research,Director AI Research,Technology
META-1-3-2-1-1,Jerome Pesenti,META-1-3-2-1,profile,computer,Manager de AI,AI Manager,Technology
META-1-4,Marne Levine,META-1,profile,school,VP de Negocios Globales,VP Global Business,Business
META-1-4-1,Marne Levine,META-1-4,profile,share,VP de Facebook,VP Facebook,Social Media
META-1-4-1-1,Adam Mosseri,META-1-4-1,profile,language,Director de Facebook,Director Facebook,Social Media
META-1-4-1-1-1,Tom Alison,META-1-4-1-1,profile,group_work,Manager de Facebook,Facebook Manager,Social Media
META-1-4-2,Adam Mosseri,META-1-4,profile,public,VP de Instagram,VP Instagram,Social Media
META-1-4-2-1,Tom Alison,META-1-4-2,profile,public,Director de Instagram,Director Instagram,Social Media
META-1-4-2-1-1,Adam Mosseri,META-1-4-2-1,profile,share,Manager de Instagram,Instagram Manager,Social Media
META-1-5,David Marcus,META-1,profile,account_balance_wallet,VP de Novi,VP Novi,Fintech
META-1-5-1,David Marcus,META-1-5,profile,chat,VP de WhatsApp,VP WhatsApp,Messaging
META-1-5-1-1,Will Cathcart,META-1-5-1,profile,forum,Director de WhatsApp,Director WhatsApp,Messaging
META-1-5-1-1-1,David Marcus,META-1-5-1-1,profile,message,Manager de WhatsApp,WhatsApp Manager,Messaging
META-1-5-2,Will Cathcart,META-1-5,profile,support_agent,VP de Messenger,VP Messenger,Messaging
META-1-5-2-1,Stan Chudnovsky,META-1-5-2,profile,chat,Director de Messenger,Director Messenger,Messaging
META-1-5-2-1-1,Will Cathcart,META-1-5-2-1,profile,chat,Manager de Messenger,Messenger Manager,Messaging
META-1-6,Sheryl Sandberg,META-1,profile,settings,COO de Meta,Chief Operating Officer,Operations
META-1-6-1,Sheryl Sandberg,META-1-6,profile,settings,VP de Operaciones,VP Operations,Operations
